source,external_payment_id,amount,currency,fee_amount,paid_at,status
stripe,PAY-5001,74.70,USD,2.47,2026-01-15T10:20:00Z,succeeded
stripe,PAY-5002,54.90,USD,1.81,2026-01-16T14:30:00Z,succeeded
paypal,PAY-5003,33.50,USD,1.15,2026-01-18T08:49:00Z,succeeded
stripe,PAY-5004,89.80,USD,2.96,2026-01-22T11:25:00Z,succeeded
stripe,PAY-5005,66.80,USD,2.20,2026-01-24T16:45:00Z,succeeded
paypal,PAY-5006,156.80,USD,4.98,2026-01-28T21:40:00Z,succeeded
stripe,PAY-5007,39.80,USD,1.31,2026-01-30T13:56:00Z,succeeded
paypal,PAY-5008,29.90,USD,1.05,2026-02-01T07:44:00Z,succeeded
stripe,PAY-5009,209.50,USD,6.12,2026-02-02T12:20:00Z,succeeded
paypal,PAY-5010,109.40,USD,3.31,2026-02-03T16:03:00Z,succeeded
stripe,PAY-5011,159.60,USD,4.86,2026-02-04T18:16:00Z,succeeded
paypal,PAY-5012,228.00,USD,6.76,2026-02-05T10:36:00Z,succeeded
stripe,PAY-5013,64.60,USD,2.05,2026-02-06T22:50:00Z,succeeded
paypal,PAY-5014,174.70,USD,5.18,2026-02-07T09:14:00Z,succeeded
stripe,PAY-5015,105.00,USD,3.20,2026-02-08T11:59:00Z,succeeded
paypal,PAY-5016,154.10,USD,4.67,2026-02-08T20:26:00Z,succeeded
stripe,PAY-5017,59.90,USD,0,,pending
paypal,PAY-5018,34.50,USD,0,,pending
